,project_id,program,unit_type,affordability_start_year,affordability_expiration_year,longitude,latitude,total_units,total_affordable_units
269,4931,Developer Incentive,Single Family,2014,2015,-97.764476,30.139909000000003,1,1
270,4218,Developer Incentive,Single Family,2011,2012,-97.70149994,30.29630089,1,1
271,3244,NHCD Program,Multifamily,2003,2033,-97.79342653185009,30.1986408937312,85,85
272,5546,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
273,3231,NHCD Program,Multifamily,2010,2109,-97.7671845964581,30.2190337978803,238,238
274,5557,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
275,5086,Developer Incentive,Single Family,2009,2010,-97.6976921,30.198141999999997,1,1
276,3640,NHCD Program,Single Family,2009,2019,-97.69081154625641,30.2304605307044,1,1
277,4294,Developer Incentive,Single Family,2014,2015,-97.70249939,30.29710007,1,1
278,5335,Developer Incentive,Single Family,2017,2018,-97.699481,30.295540999999997,1,1
279,3906,NHCD Program,Single Family,2015,2114,-97.730902,30.270713,1,1
280,4141,Developer Incentive,Single Family,2008,2009,-97.70420074,30.29439926,1,1
281,4366,Developer Incentive,Single Family,2013,2014,-97.7016983,30.299600599999998,1,1
282,4227,Developer Incentive,Single Family,2012,2013,-97.70050049,30.29590034,1,1
283,4835,Developer Incentive,Single Family,2008,2009,-97.769171,30.141664000000002,1,1
284,5345,Developer Incentive,Single Family,2017,2018,-97.699974,30.299932000000002,1,1
285,5399,NHCD Program,Multifamily,2018,2117,-97.719825,30.275032,1,1
286,4729,NHCD Program,Single Family,2009,2019,-97.684169,30.275334,1,1
287,4410,NHCD Program,Multifamily,2017,2057,-97.697889,30.300054,132,132
288,4826,Developer Incentive,Single Family,2007,2008,-97.767687,30.140268,1,1
289,3305,NHCD Program,Multifamily,2005,2015,-97.70402252727709,30.2341914803456,6,6
290,5138,Developer Incentive,Single Family,2012,2013,-97.69989699999999,30.198644,1,1
291,4235,Developer Incentive,Single Family,2009,2010,-97.70230103,30.29439926,1,1
