ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WEBB PRIMARY CENTER,05/01/2019 12:00:00 AM,215.0,215.0,0.0,0.0,172521.64
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,WEISS HIGH SCHOOL,05/01/2019 12:00:00 AM,1390.0,558.0,138.0,694.0,328968.26999999996
2018-2019,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,WEST CYPRESS HILLS EL,06/01/2019 12:00:00 AM,881.0,71.0,9.0,801.0,60081.53
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,WESTVIEW MIDDLE,05/01/2019 12:00:00 AM,770.0,526.0,79.0,165.0,363334.62000000005
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WIDEN EL,05/01/2019 12:00:00 AM,456.0,456.0,0.0,0.0,336077.49
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,WIELAND ELEMENTARY,05/01/2019 12:00:00 AM,396.0,246.0,35.0,115.0,217740.63
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WILLIAMS EL,05/01/2019 12:00:00 AM,478.0,338.0,43.0,97.0,231218.56999999998
2018-2019,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,WILLOUGHBY HOUSE,06/01/2019 12:00:00 AM,22.0,22.0,0.0,0.0,34396.41
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,WINDERMERE EL,05/01/2019 12:00:00 AM,443.0,193.0,39.0,210.0,142618.13999999998
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,WINDERMERE PRI,05/01/2019 12:00:00 AM,430.0,268.0,27.0,135.0,186762.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WINN EL,05/01/2019 12:00:00 AM,265.0,265.0,0.0,0.0,195639.45
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WOOLDRIDGE EL,05/01/2019 12:00:00 AM,551.0,551.0,0.0,0.0,433459.32999999996
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,WOOTEN EL,05/01/2019 12:00:00 AM,457.0,457.0,0.0,0.0,301125.05
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ZAVALA EL,05/01/2019 12:00:00 AM,298.0,298.0,0.0,0.0,218283.15999999997
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ZILKER EL,05/01/2019 12:00:00 AM,523.0,95.0,20.0,408.0,60858.149999999994
