ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement,Lat,Lng,Address,Zipcode
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS ELEMENTARY,06/01/2017 12:00:00 AM,447.0,38.0,7.0,401.0,25021.55,30.305168100000003,-97.75117490000001,"3309 Kerbey Ln, Austin, TX 78703, USA",78703.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS ELEMENTARY,05/01/2018 12:00:00 AM,460.0,32.0,9.0,419.0,21996.7,30.305168100000003,-97.75117490000001,"3309 Kerbey Ln, Austin, TX 78703, USA",78703.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS ELEMENTARY,05/01/2019 12:00:00 AM,427.0,45.0,6.0,375.0,28843.57,30.305168100000003,-97.75117490000001,"3309 Kerbey Ln, Austin, TX 78703, USA",78703.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,06/01/2016 12:00:00 AM,1054.0,933.0,53.0,68.0,537040.48,30.364895899999997,-97.7253413,"8401 Hathaway Dr, Austin, TX 78757, USA",78757.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,06/01/2017 12:00:00 AM,963.0,839.0,51.0,73.0,487314.07,30.364895899999997,-97.7253413,"8401 Hathaway Dr, Austin, TX 78757, USA",78757.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,05/01/2018 12:00:00 AM,1000.0,843.0,52.0,104.0,472773.05,30.364895899999997,-97.7253413,"8401 Hathaway Dr, Austin, TX 78757, USA",78757.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,05/01/2019 12:00:00 AM,1048.0,829.0,42.0,176.0,489216.76,30.364895899999997,-97.7253413,"8401 Hathaway Dr, Austin, TX 78757, USA",78757.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,217.0,190.0,12.0,15.0,139836.03999999998,30.2826063,-97.7138678,"2613 Rogers Ave, Austin, TX 78722, USA",78722.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,193.0,167.0,8.0,19.0,126974.68,30.2826063,-97.7138678,"2613 Rogers Ave, Austin, TX 78722, USA",78722.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,197.0,163.0,10.0,25.0,128509.63999999998,30.2826063,-97.7138678,"2613 Rogers Ave, Austin, TX 78722, USA",78722.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,193.0,193.0,0.0,0.0,142124.1,30.2826063,-97.7138678,"2613 Rogers Ave, Austin, TX 78722, USA",78722.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY ELEMENTARY,06/01/2016 12:00:00 AM,615.0,338.0,63.0,215.0,249767.20000000004,30.1768766,-97.8147005,"9400 Texas Oaks Dr, Austin, TX 78748, USA",78748.0
