ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MARTIN MIDDLE SCHOOL AUSTIN,06/01/2016 12:00:00 AM,472.0,417.0,26.0,30.0,259792.12
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MATHEWS ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,426.0,145.0,21.0,260.0,90641.58
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MCBEE ELEMENTARY SCHOOL AUSTIN,06/01/2016 12:00:00 AM,489.0,438.0,28.0,23.0,317835.97
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MCCALLUM H S,06/01/2016 12:00:00 AM,1722.0,446.0,79.0,1196.0,139459.13999999998
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MENCHACA ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,736.0,320.0,46.0,371.0,198248.96
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MENDEZ MIDDLE,06/01/2016 12:00:00 AM,801.0,702.0,55.0,45.0,434277.19
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,METZ ELEMENTARY,06/01/2016 12:00:00 AM,323.0,260.0,20.0,43.0,177691.36
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MILLS ELEMENTARY SCHOOL AUSTIN,06/01/2016 12:00:00 AM,823.0,62.0,16.0,745.0,39491.93
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,MURCHISON MIDDLE,06/01/2016 12:00:00 AM,1365.0,307.0,60.0,998.0,153771.41999999995
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,NORMAN-SIMS ELEMENTARYEMENTARY,06/01/2016 12:00:00 AM,322.0,290.0,21.0,11.0,208060.48
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,O HENRY MIDDLE,06/01/2016 12:00:00 AM,931.0,190.0,43.0,698.0,95949.29
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OAK HILL ELEMENTARY AUSTINEMENTARY AUSTIN,06/01/2016 12:00:00 AM,846.0,313.0,35.0,498.0,212012.9
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OAK SPRINGS ELEMENTARY,06/01/2016 12:00:00 AM,329.0,312.0,5.0,12.0,229194.56000000003
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ODOM ELEMENTARY,06/01/2016 12:00:00 AM,546.0,461.0,39.0,47.0,320965.38
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ORTEGA ELEMENTARY,06/01/2016 12:00:00 AM,308.0,245.0,34.0,29.0,175993.1
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,OVERTON ELEMENTARY,06/01/2016 12:00:00 AM,705.0,636.0,31.0,38.0,404616.07000000007
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PADRON ELEMENTARY,06/01/2016 12:00:00 AM,767.0,725.0,24.0,19.0,491643.63
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PALM ELEMENTARY,06/01/2016 12:00:00 AM,483.0,350.0,52.0,81.0,255932.66
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PAREDES MIDDLE SCHOOL,06/01/2016 12:00:00 AM,1008.0,603.0,135.0,270.0,351456.08
